measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Hungary,Male,<1 year,Years,2017,73.1917955222443,73.89246895064149,72.42482500749709
Life expectancy,Hungary,Female,<1 year,Years,2017,80.20831981368693,80.86359301954393,79.49903494114628
Life expectancy,Hungary,Both,<1 year,Years,2017,76.81029830917241,77.30367100337386,76.3103944309387
Life expectancy,Macedonia,Male,<1 year,Years,2017,73.88462811857086,74.5752127763107,73.19141203200346
Life expectancy,Macedonia,Female,<1 year,Years,2017,79.68595216351086,80.26351223834652,79.15307182800892
Life expectancy,Macedonia,Both,<1 year,Years,2017,76.55085919508558,77.0312246792548,76.0652207580113
Life expectancy,Montenegro,Male,<1 year,Years,2017,74.07121445951027,75.15233350538135,72.92342510775194
Life expectancy,Montenegro,Female,<1 year,Years,2017,78.9341154527365,79.72281041546792,78.12957766373337
Life expectancy,Montenegro,Both,<1 year,Years,2017,76.49057482179963,77.18123384502887,75.76159866420012
Life expectancy,Poland,Male,<1 year,Years,2017,74.07481786097084,74.79599728673156,73.34686799819694
Life expectancy,Poland,Female,<1 year,Years,2017,81.84961064452158,82.44490941907846,81.19852732435216
Life expectancy,Poland,Both,<1 year,Years,2017,77.99090560533088,78.46485462284951,77.49058013844964
Life expectancy,Romania,Male,<1 year,Years,2017,71.55001019875259,72.26419672025392,70.81798219796873
Life expectancy,Romania,Female,<1 year,Years,2017,78.95854114972607,79.61217850900192,78.34815338722909
Life expectancy,Romania,Both,<1 year,Years,2017,75.1807504653042,75.67373943430285,74.70311995510271
Life expectancy,Serbia,Male,<1 year,Years,2017,73.5898412893318,74.23963407953777,72.93328287244444
Life expectancy,Serbia,Female,<1 year,Years,2017,77.86333196705566,78.54374486723053,77.19843719527606
Life expectancy,Serbia,Both,<1 year,Years,2017,75.71417660191894,76.19425625093099,75.25540647595561
Life expectancy,Slovakia,Male,<1 year,Years,2017,74.09431002802691,74.77322627920961,73.39769458752461
Life expectancy,Slovakia,Female,<1 year,Years,2017,80.57819816556173,81.27148507908815,79.86255313288443
Life expectancy,Slovakia,Both,<1 year,Years,2017,77.40517267080267,77.91062485111294,76.89923038118957
Life expectancy,Slovenia,Male,<1 year,Years,2017,77.92168208507566,78.7070232425315,77.16882752967115
Life expectancy,Slovenia,Female,<1 year,Years,2017,84.2310073787731,84.98516348087881,83.45326426348078
Life expectancy,Slovenia,Both,<1 year,Years,2017,81.10132224372897,81.66363802743862,80.53537057155253
Life expectancy,Belarus,Male,<1 year,Years,2017,68.96678639226174,69.67491938276652,68.20471961895731
Life expectancy,Belarus,Female,<1 year,Years,2017,78.78308030486849,79.44551098302908,78.14222549211533
Life expectancy,Belarus,Both,<1 year,Years,2017,74.025864878037,74.53463910618974,73.47138652178188
Life expectancy,Estonia,Male,<1 year,Years,2017,73.66603530639648,75.29191182058659,71.96732736801691
Life expectancy,Estonia,Female,<1 year,Years,2017,82.09620348795741,83.49312477647256,80.69155426569532
Life expectancy,Estonia,Both,<1 year,Years,2017,78.09203939374393,79.31853835045005,76.94110399928505
Life expectancy,Latvia,Male,<1 year,Years,2017,70.15167274913779,71.74469370883267,68.5509439053144
Life expectancy,Latvia,Female,<1 year,Years,2017,79.8653675095578,81.30330247790604,78.37603704810138
Life expectancy,Latvia,Both,<1 year,Years,2017,75.17024969874772,76.30710887486569,74.04330116477779
Life expectancy,Lithuania,Male,<1 year,Years,2017,69.63402796915436,70.51340686971487,68.723315169232
Life expectancy,Lithuania,Female,<1 year,Years,2017,80.20711626389482,80.97000611696409,79.42990959812053
Life expectancy,Lithuania,Both,<1 year,Years,2017,75.01657662201991,75.63998545970891,74.3949922129863
Life expectancy,Moldova,Male,<1 year,Years,2017,68.19986682505717,68.6582511618246,67.7776071399601
Life expectancy,Moldova,Female,<1 year,Years,2017,77.42236881981967,77.85678464464992,77.01313408919484
Life expectancy,Moldova,Both,<1 year,Years,2017,72.89582656958702,73.2261387194731,72.56252992668107
Life expectancy,Russian Federation,Male,<1 year,Years,2017,66.75223254691795,66.8888488309427,66.62625516351713
Life expectancy,Russian Federation,Female,<1 year,Years,2017,77.23863875808381,77.35771277476445,77.12113502579369
Life expectancy,Russian Federation,Both,<1 year,Years,2017,72.07582280924206,72.17492342442655,71.9810533445904
Life expectancy,Ukraine,Male,<1 year,Years,2017,64.65703751790308,65.43924168961424,63.86522366810769
Life expectancy,Ukraine,Female,<1 year,Years,2017,76.525564612412,77.19138421402691,75.78012831737243
Life expectancy,Ukraine,Both,<1 year,Years,2017,70.54713509101434,71.12068727773458,69.96086901125075
Life expectancy,Andorra,Male,<1 year,Years,2017,80.55443799037036,81.67937922882525,79.42560426749584
Life expectancy,Andorra,Female,<1 year,Years,2017,85.08870789653083,86.73696179149229,83.58119019528279
Life expectancy,Andorra,Both,<1 year,Years,2017,82.70494042824008,83.57762408561521,81.77040168513652
Life expectancy,Austria,Male,<1 year,Years,2017,79.40633063123812,80.07313668432856,78.75234067639893
Life expectancy,Austria,Female,<1 year,Years,2017,84.03660857066859,84.62180135435497,83.40280428839175
Life expectancy,Austria,Both,<1 year,Years,2017,81.77288527366208,82.2226911262637,81.29170113362261
Life expectancy,Belgium,Male,<1 year,Years,2017,78.8769340288938,79.54560988678921,78.21820318722864
Life expectancy,Belgium,Female,<1 year,Years,2017,83.82332763270855,84.45027320363491,83.14297118170174
Life expectancy,Belgium,Both,<1 year,Years,2017,81.3784420017911,81.84689335278085,80.88393729256109
Life expectancy,Cyprus,Male,<1 year,Years,2017,78.4629136273916,79.47064980508921,77.41249499634813
Life expectancy,Cyprus,Female,<1 year,Years,2017,85.21982840443636,85.97543768797004,84.33134899374026
Life expectancy,Cyprus,Both,<1 year,Years,2017,81.7202232604594,82.40166940554171,80.99895789434858
Life expectancy,Denmark,Male,<1 year,Years,2017,78.8153426668536,79.47975282085888,78.12499585991358
Life expectancy,Denmark,Female,<1 year,Years,2017,82.6924138586894,83.36784788040711,81.91269427067566
Life expectancy,Denmark,Both,<1 year,Years,2017,80.76204996705177,81.26905563721168,80.24927222790019
Life expectancy,Finland,Male,<1 year,Years,2017,78.55424096413728,79.2267300021119,77.76820882665996
Life expectancy,Finland,Female,<1 year,Years,2017,84.28302583094893,84.94315870393103,83.58497625684319
Life expectancy,Finland,Both,<1 year,Years,2017,81.42076997120374,81.89788562467879,80.90003320718826
Life expectancy,France,Male,<1 year,Years,2017,79.8229652753553,80.4295953290886,79.18062247810701
Life expectancy,France,Female,<1 year,Years,2017,85.72582990599405,86.29227945691561,85.14594478663153
Life expectancy,France,Both,<1 year,Years,2017,82.8415656100854,83.28645655862995,82.36795885859999
Life expectancy,Germany,Male,<1 year,Years,2017,78.2561799931427,79.4841908362368,76.90854625916181
Life expectancy,Germany,Female,<1 year,Years,2017,83.02868923270434,84.20104586101587,81.82477171300323
Life expectancy,Germany,Both,<1 year,Years,2017,80.63472194716537,81.53119836713644,79.721289599768
Life expectancy,Greece,Male,<1 year,Years,2017,78.44546246838514,79.14590211326214,77.78816750841253
Life expectancy,Greece,Female,<1 year,Years,2017,83.5686255370153,84.20920391155124,82.95538682325085
Life expectancy,Greece,Both,<1 year,Years,2017,80.98871708533188,81.46773290532454,80.52430809874389
Life expectancy,Iceland,Male,<1 year,Years,2017,79.83154048708994,80.24547011299042,79.3994138594606
Life expectancy,Iceland,Female,<1 year,Years,2017,85.94369887410551,86.42197346209394,85.45149371103024
